year,site_type,gross_internal_floor_area_m2,site_heated_volume_m3,not_functionally_suitable_occupied_floor_area_pct,gas_consumed_kwh,water_volume_including_borehole_m3,steam_consumed_kwh,hot_water_consumed_kwh,led_lighting_coverage_pct,oil_led_heating_sources_no,overheating_occurrences_triggering_a_risk_assessment_no,flood_occurrences_triggering_a_risk_assessment_no,total_backlog_cost_gbp,age_vulnerability_score,latitude,longitude,not_functionally_suitable_occupied_floor_area_pct_missing,gas_consumed_kwh_missing,water_volume_including_borehole_m3_missing,steam_consumed_kwh_missing,hot_water_consumed_kwh_missing,led_lighting_coverage_pct_missing,oil_led_heating_sources_no_missing,overheating_occurrences_triggering_a_risk_assessment_no_missing,gross_internal_floor_area_m2_missing,site_heated_volume_m3_missing,log_backlog_cost
2021_22,Mental Health (including Specialist services),436.0,974.0,0.0,84182.0,804.0,0.0,0.0,20.0,0.0,0.0,0,44869.0,20.0,52.2304,-2.1928,0,0,0,0,0,0,0,0,0,0,10.71152469897003
2021_22,Community hospital (with inpatient beds),13330.0,26784.0,2.1,3863605.0,8089.0,0.0,0.0,50.0,0.0,3.0,0,4814751.0,38.41,52.3427125,-2.07645,0,0,0,0,0,0,0,0,0,0,15.38719509617658
2021_22,Community hospital (with inpatient beds),1855.0,4592.0,5.2,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,148050.0,10.0,52.11444545454546,-2.047613636363636,0,1,1,1,1,1,1,0,0,0,11.905312087981766
2021_22,Learning Disabilities,1648.0,3327.0,1.7,656309.0,2025.0,0.0,0.0,12.0,0.0,1.0,0,52650.0,40.0,52.095075,-2.327225,0,0,0,0,0,0,0,0,0,0,10.871440510734077
2021_22,Non inpatient,645.0,1426.0,1.7,38390.0,276.0,0.0,0.0,20.0,0.0,0.0,0,10960.0,40.0,52.095075,-2.327225,0,0,0,0,0,0,0,0,0,0,9.302098797215724
2021_22,Community hospital (with inpatient beds),5890.0,8745.0,0.0,854601.0,4931.0,0.0,0.0,20.0,0.0,0.0,0,87515.0,10.0,52.095075,-2.327225,0,0,0,0,0,0,0,0,0,0,11.379576912772233
2021_22,Community hospital (with inpatient beds),2269.0,5157.0,0.0,1095180.0,3152.0,0.0,0.0,0.0,0.0,0.0,0,517639.0,20.0,52.1651,-2.1974428571428573,0,0,0,0,0,0,0,0,0,0,13.157035298935606
2021_22,Community hospital (with inpatient beds),4307.0,9780.0,8.8,706493.0,4121.0,0.0,0.0,20.0,0.0,0.0,0,1473290.0,62.2,52.375,-2.2416875,0,0,0,0,0,0,0,0,0,0,14.203009231941296
2021_22,Mental Health (including Specialist services),6960.0,13153.0,9.5,877972.0,4138.0,0.0,0.0,30.0,0.0,2.0,0,1075049.0,60.0,52.1651,-2.1974428571428573,0,0,0,0,0,0,0,0,0,0,13.887877730090175
2021_22,Non inpatient,742.0,1705.0,12.0,72081.0,317.0,0.0,0.0,10.0,0.0,0.0,0,264540.0,100.0,52.08174186046512,-2.612990697674419,0,0,0,0,0,0,0,0,0,0,12.485751527719563
2021_22,Other Reportable Site,5252.0,12108.0,15.76,889777.0,2245.0,0.0,0.0,30.0,0.0,0.0,0,910564.0,53.04700000000001,52.2038,-2.1897,0,0,0,0,0,0,0,0,0,0,13.721820564948214
2021_22,Non inpatient,606.0,1349.0,0.0,190470.0,0.0,0.0,0.0,100.0,0.0,0.0,0,151100.0,10.0,50.78925,-1.06255,0,0,0,0,0,0,0,0,0,0,11.925703766372617
2021_22,Non inpatient,1784.0,3383.0,0.0,276333.0,1246.0,0.0,0.0,100.0,0.0,0.0,0,2725380.0,60.0,50.925650000000005,-1.3684,0,0,0,0,0,0,0,0,0,0,14.818118792819826
2021_22,Community hospital (with inpatient beds),3067.0,6220.0,0.0,1423233.0,3601.0,0.0,0.0,100.0,0.0,0.0,0,3531704.0,40.0,50.942125,-1.431825,0,0,0,0,0,0,0,0,0,0,15.077291315134019
2021_22,Non inpatient,397.0,907.0,0.0,50865.0,141.0,0.0,0.0,100.0,0.0,0.0,0,35364.0,10.0,50.942125,-1.431825,0,0,0,0,0,0,0,0,0,0,10.473477909470091
2021_22,Mental Health (including Specialist services),839.0,2174.0,0.0,112371.0,0.0,0.0,0.0,20.0,0.0,0.0,0,284200.0,100.0,50.78925,-1.06255,0,0,0,0,0,0,0,0,0,0,12.557437013287785
2021_22,Non inpatient,638.0,1346.0,0.0,4152.0,68.0,0.0,0.0,100.0,0.0,0.0,0,159150.0,10.0,50.8993,-1.3670749999999998,0,0,0,0,0,0,0,0,0,0,11.977608716070957
2021_22,Community hospital (with inpatient beds),12888.0,30932.0,0.0,1494314.0,10935.0,0.0,0.0,20.0,0.0,0.0,0,1082986.0,64.0,50.831,-1.0653,0,0,0,0,0,0,0,0,0,0,13.895233522217639
2021_22,Non inpatient,1321.0,2366.0,0.0,151433.0,251.0,0.0,0.0,100.0,0.0,0.0,0,45200.0,51.49999999999999,50.8183,-1.0719,0,0,0,0,0,0,0,0,0,0,10.718874489469398
2021_22,Other inpatient,1270.0,2816.0,0.0,334064.0,2448.0,0.0,0.0,5.0,0.0,0.0,0,700000.0,78.69999999999999,50.8473,-1.060466666666667,0,0,0,0,0,0,0,0,0,0,13.45883704259595
2021_22,Other Reportable Site,6505.0,14622.0,0.0,207651.0,569.0,0.0,0.0,77.0,0.0,0.0,0,1093033.0,47.8,50.942125,-1.431825,0,0,0,0,0,0,0,0,0,0,13.904467873719693
2021_22,Non inpatient,1321.0,3047.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,277200.0,100.0,50.78925,-1.06255,0,0,0,0,0,0,0,0,0,0,12.532498153794986
2021_22,Mental Health (including Specialist services),2539.0,7583.0,0.0,622766.0,0.0,0.0,0.0,20.0,0.0,0.0,0,802750.0,10.0,50.78925,-1.06255,0,0,0,0,0,0,0,0,0,0,13.59579985766883
2021_22,Mental Health (including Specialist services),2783.0,6679.0,0.0,487936.0,2304.0,0.0,0.0,20.0,0.0,0.0,0,104100.0,10.0,50.78925,-1.06255,0,0,0,0,0,0,0,0,0,0,11.553116860704856
2021_22,Community hospital (with inpatient beds),3812.0,8767.0,0.0,893924.0,2826.0,0.0,0.0,15.0,0.0,0.0,0,1118000.0,58.0,52.51170285714286,-2.4761057142857146,0,0,0,0,0,0,0,0,0,0,13.927052827151165
2021_22,Community hospital (with inpatient beds),969.0,2228.0,0.0,229673.0,4872.0,0.0,0.0,25.0,0.0,0.0,0,404500.0,73.0,52.5033,-2.9787615384615385,0,1,0,1,1,1,1,0,0,0,12.910409487665515
2021_22,Non inpatient,2053.0,4132.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,20000.0,60.0,52.7,-2.5,0,1,1,1,1,1,1,0,0,0,9.90353755128617
2021_22,Community hospital (with inpatient beds),3672.0,8198.0,0.0,735827.0,6278.0,0.0,0.0,60.0,0.0,0.0,0,815000.0,56.0,52.94580322580645,-2.675132258064516,0,0,0,0,0,0,0,0,0,0,13.610944619216111
2021_22,Non inpatient,520.0,1300.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,0.0,10.0,52.6766,-2.4493,0,1,1,1,1,1,1,0,0,0,0.0
2021_22,Non inpatient,616.0,1540.0,0.0,229673.0,45.0,0.0,0.0,25.0,0.0,0.0,0,0.0,10.0,52.7065,-2.7295,0,1,0,1,1,1,1,0,0,0,0.0
2021_22,Non inpatient,1525.0,3867.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,129000.0,60.0,52.7,-2.5,0,1,1,1,1,1,1,0,0,0,11.767575435251748
2021_22,Non inpatient,2401.0,5003.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,150000.0,100.0,52.83286111111111,-2.965927777777778,0,1,1,1,1,1,1,0,0,0,11.918397239722838
2021_22,Non inpatient,1625.0,3063.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,19500.0,10.0,52.71675,-2.7468,0,1,1,1,1,1,1,0,0,0,9.87822102528824
2021_22,Other Reportable Site,5570.0,13604.0,0.0,1186919.0,1264.0,0.0,0.0,6.84,0.0,0.0,0,893500.0,45.1,52.69885714285714,-2.7749142857142854,0,0,0,0,0,0,0,0,0,0,13.702902732775174
2021_22,Unoccupied,1122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,60.0,50.68416538461538,-1.3289153846153847,1,0,0,0,0,0,0,0,0,0,0.0
2021_22,Unoccupied,522.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,50.66632857142857,-1.1746714285714286,1,0,0,0,0,0,0,0,0,0,0.0
2021_22,Mixed service hospital,61633.0,152000.0,20.2,14586092.0,90497.0,0.0,0.0,20.0,0.0,3.0,0,9727835.0,56.489999999999995,50.68416538461538,-1.3289153846153847,0,0,0,0,0,0,0,0,0,0,16.090502024493347
2021_22,Non inpatient,813.0,1902.0,0.0,196055.0,252.0,0.0,0.0,20.0,0.0,0.0,0,19550.0,20.0,50.68416538461538,-1.3289153846153847,0,0,0,0,0,0,0,0,0,0,9.88078171500049
2021_22,Mental Health (including Specialist services),512.0,1152.0,0.0,61205.0,482.0,0.0,0.0,5.0,0.0,0.0,0,399888.0,100.0,50.68416538461538,-1.3289153846153847,0,0,0,0,0,0,0,0,0,0,12.89894228757987
2021_22,Mental Health (including Specialist services),501.0,1082.0,0.0,0.0,47.0,0.0,0.0,20.0,0.0,0.0,0,309200.0,100.0,52.766575,0.420875,0,0,0,0,0,0,0,0,0,0,12.641746829842827
2021_22,Non inpatient,1206.0,3799.0,0.0,0.0,86.0,0.0,0.0,50.0,0.0,0.0,0,5001.0,0.0,52.766575,0.420875,0,0,0,0,0,0,0,0,0,0,8.517593111437565
2021_22,Unoccupied,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,40.0,50.66632857142857,-1.1746714285714286,1,0,0,0,0,0,0,0,0,0,0.0
2021_22,Other Reportable Site,1992.0,4541.0,0.0,426330.0,1178.0,0.0,0.0,20.0,0.0,0.0,0,282136.0,75.374,50.68416538461538,-1.3289153846153847,0,0,0,0,0,0,0,0,0,0,12.550148047552893
2021_22,General acute hospital,180480.0,464048.0,7.0,55435384.0,295822.0,0.0,0.0,20.0,0.0,0.0,0,0.0,10.0,51.51302727272727,-0.0617727272727272,0,0,0,0,0,0,0,0,0,0,0.0
2021_22,Non inpatient,25211.0,63028.0,34.0,4524055.0,32883.0,0.0,0.0,30.0,0.0,0.0,0,16637730.0,77.50999999999999,51.51302727272727,-0.0617727272727272,0,0,0,0,0,0,0,0,0,0,16.627183625886637
2021_22,Non inpatient,6283.0,14292.0,80.0,1112517.0,4086.0,0.0,0.0,0.0,0.0,0.0,0,4415000.0,80.0,51.51302727272727,-0.0617727272727272,0,0,0,0,0,0,0,0,0,0,15.300518618520739
2021_22,Non inpatient,1085.0,2713.0,0.0,167750.0,412.0,0.0,0.0,0.0,0.0,0.0,0,205000.0,60.0,51.51302727272727,-0.0617727272727272,0,0,0,0,0,0,0,0,0,0,12.230770136157428
2021_22,Unoccupied,2848.0,7119.0,0.0,1.0,226.0,0.0,0.0,0.0,0.0,0.0,0,14000000.0,70.0,51.51302727272727,-0.0617727272727272,1,0,0,0,0,0,0,0,0,0,16.454567959008102
2021_22,Non inpatient,3544.0,10636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150000.0,100.0,51.5085,-0.1257,0,0,0,0,0,0,0,0,0,0,11.918397239722838
2021_22,Non inpatient,2276.0,5471.0,0.0,1946.0,0.0,0.0,0.0,0.0,0.0,0.0,0,533000.0,100.0,51.51302727272727,-0.0617727272727272,0,0,0,0,0,0,0,0,0,0,13.186278579318829
2021_22,General acute hospital,98224.0,235738.0,100.0,37852397.0,78537.0,0.0,0.0,63.0,0.0,0.0,1,117703180.0,61.385,51.57656666666667,0.0171666666666666,0,0,0,0,0,0,0,0,0,0,18.583676598203446
2021_22,Non inpatient,440.0,1101.0,0.0,39051.0,493.0,0.0,0.0,0.0,0.0,0.0,0,121000.0,60.0,51.646,0.0538,0,0,0,0,0,0,0,0,0,0,11.703554089007538
2021_22,Specialist hospital (acute only),80029.0,214280.0,14.0,46198131.0,95327.0,0.0,0.0,20.0,0.0,0.0,0,30016910.0,33.67,51.5085,-0.1257,0,0,0,0,0,0,0,0,0,0,17.217271480807266
2021_22,General acute hospital,44175.0,111279.0,65.0,12224491.0,90306.0,0.0,0.0,61.0,0.0,0.0,0,131295488.0,39.451,51.529333333333334,0.0182666666666666,0,0,0,0,0,0,0,0,0,0,18.692960982247186
2021_22,General acute hospital,123308.0,256087.0,7.0,36812357.0,268575.0,0.0,0.0,75.0,0.0,2.0,1,164502073.0,70.0,51.5774,-0.33615,0,0,0,0,0,0,0,0,0,0,18.918433735992956
2021_22,General acute hospital,44895.0,79591.0,0.0,9253421.0,41968.0,0.0,0.0,80.0,0.0,0.0,0,264322.0,20.0,51.53758571428572,-0.2431214285714285,0,0,0,0,0,0,0,0,0,0,12.484927119129276
2021_22,General acute hospital,58081.0,113854.0,11.0,14414755.0,77203.0,0.0,0.0,70.0,0.0,0.0,0,79325218.0,60.0,51.509,-0.3713,0,0,0,0,0,0,0,0,0,0,18.189066656223922
2021_22,Non inpatient,987.0,2448.0,0.0,290147.0,5250.0,0.0,0.0,0.0,0.0,0.0,0,899170.0,80.0,51.4954,-0.3763,0,0,0,0,0,0,0,0,0,0,13.709228506711813
2021_22,Non inpatient,1405.0,3752.0,7.0,269449.0,766.0,0.0,0.0,50.0,0.0,0.0,0,1255265.0,65.1,51.5122,-0.311625,0,0,0,0,0,0,0,0,0,0,14.042858060280563
