site_code,site_name,post_code,trust_code,gross_internal_floor_area_m2,site_heated_volume_m3,not_functionally_suitable_occupied_floor_area_pct,gas_consumed_kwh,water_volume_including_borehole_m3,steam_consumed_kwh,hot_water_consumed_kwh,led_lighting_coverage_pct,oil_led_heating_sources_no,overheating_occurrences_triggering_a_risk_assessment_no,flood_occurrences_triggering_a_risk_assessment_no,total_backlog_cost_gbp,age_vulnerability_score,latitude,longitude,not_functionally_suitable_occupied_floor_area_pct_missing,gas_consumed_kwh_missing,water_volume_including_borehole_m3_missing,steam_consumed_kwh_missing,hot_water_consumed_kwh_missing,led_lighting_coverage_pct_missing,oil_led_heating_sources_no_missing,overheating_occurrences_triggering_a_risk_assessment_no_missing,gross_internal_floor_area_m2_missing,site_heated_volume_m3_missing,site_type_Community hospital (with inpatient beds),site_type_General acute hospital,site_type_Learning Disabilities,site_type_Mental Health (including Specialist services),site_type_Mental Health and Learning Disabilities,site_type_Mixed service hospital,site_type_Non inpatient,site_type_Other Reportable Site,site_type_Other inpatient,site_type_Specialist hospital (acute only),site_type_Support Facility,site_type_Unoccupied,year_2021_22,year_22_23,year_23_24,year_24_25
K9V6S,SUNDERLAND CHILDREN'S CENTRE,SR3 4AG,R0B,4440.0,14550.0,0.0,1271315.0,1718.0,0.0,0.0,10.0,0.0,0.0,0,5216139.0,100.0,54.874233333333336,-1.4153666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
O9R0N,CLARENDON,NE31 1AT,R0B,4286.0,10083.0,68.8,686888.0,1342.0,0.0,0.0,5.0,0.0,0.0,0,285450.0,10.0,54.973,-1.5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0B01,SUNDERLAND ROYAL HOSPITAL,SR4 7TP,R0B,125398.0,305451.0,0.0,51934058.0,171384.0,0.0,0.0,85.0,0.0,2.0,0,17297827.0,38.046,54.9004,-1.4255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R0B0B,DURHAM DIAGNOSTIC & TREATMENT CENTRE,DH1 1HP,R0B,2493.0,6731.0,0.0,570369.0,15346.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,54.77482,-1.56714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,NE34 0PL,R0B,50052.0,101437.0,15.4,26974620.0,74891.0,0.0,0.0,5.0,0.0,4.0,0,14410781.0,58.993,54.9667,-1.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R0B0RS,OTHER REPORTABLE SITES,,R0B,16194.0,40486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,32.74099999999999,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
R0B0U,ST BENEDICT'S HOSPICE (MONKWEARMOUTH HOSPITAL),SR2 0NY,R0B,3193.0,7703.0,0.0,567111.0,1959.0,0.0,0.0,5.0,0.0,0.0,0,192000.0,10.0,54.8792,-1.37365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
R0B0X,SUNDERLAND EYE INFIRMARY,SR2 9HP,R0B,7122.0,20708.0,0.0,2934345.0,8641.0,0.0,0.0,15.0,0.0,2.0,0,6915192.0,90.795,54.8792,-1.37365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
R0B1A,PRIMROSE HILL HOSPITAL,NE32 5HA,R0B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,50.2,54.974050000000005,-1.4842499999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
R0B1B,PALMERS COMMUNITY HOSPITAL,NE32 3UX,R0B,4949.0,16330.0,9.4,1613811.0,4289.0,0.0,0.0,5.0,0.0,0.0,0,602257.0,60.0,54.974050000000005,-1.4842499999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0D01,POOLE HOSPITAL,BH15 2JB,R0D,74324.0,157798.0,9.0,28268134.0,144941.0,0.0,0.0,57.0,0.0,1.0,0,47232525.0,58.5,50.7167,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R0D02,ROYAL BOURNEMOUTH HOSPITAL,BH7 7DW,R0D,79147.0,254579.0,0.0,11948050.0,111740.0,0.0,6737010.0,55.0,0.0,0.0,0,18184032.0,30.206000000000003,50.7363,-1.827,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R0D03,CHRISTCHURCH HOSPITAL,BH23 2JX,R0D,7866.0,18299.0,0.0,1334786.0,11203.0,0.0,0.0,90.0,0.0,0.0,0,178238.0,51.226,50.755406666666666,-1.7577666666666665,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R0D0H,SSD ALDERNEY COMMUNITY HOSPITAL,BH12 4NB,R0D,1457.0,5099.0,0.0,2235120.0,20923.0,0.0,0.0,85.0,0.0,0.0,0,2392007.0,40.0,50.73853333333333,-1.9198333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
K2M7H,RIVER & FOREST NEIGHBOURHOOD TEAMS (GEMINI HOUSE),DY11 7QL,R1A,536.0,1232.0,0.0,0.0,229.0,0.0,0.0,25.0,0.0,0.0,0,,40.0,52.375,-2.2416875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1A0A,KINGS COURT 1,WR5 1JR,R1A,1015.0,2358.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,,20.0,52.1651,-2.1974428571428573,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1A0C,KINGS COURT 2,WR5 1JR,R1A,2796.0,7671.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0,471910.0,20.0,52.1651,-2.1974428571428573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1A1P,EVESHAM COMMUNITY HOSPITAL,WR11 1JT,R1A,9350.0,21341.0,14.0,3042765.0,5918.0,0.0,0.0,12.0,0.0,3.0,0,5320408.0,95.7,52.10796153846154,-1.9201384615384616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R1A1R,COVERCROFT,WR9 8QU,R1A,744.0,1728.0,0.0,44273.0,318.0,0.0,0.0,10.0,0.0,0.0,0,,70.0,52.26260476190476,-2.1635809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1A1T,DROITWICH MEDICAL CENTRE,WR9 8RD,R1A,1110.0,2578.0,0.0,66038.0,474.0,0.0,0.0,12.0,0.0,0.0,0,,10.0,52.26260476190476,-2.1635809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1A22,KEITH WINTER CLOSE MH UNIT,B61 0EX,R1A,700.0,1584.0,46.0,173112.0,1248.0,0.0,0.0,20.0,0.0,0.0,0,42374.0,40.0,52.3427125,-2.07645,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R1A37,ORCHARD PLACE,B98 7DP,R1A,1260.0,2892.0,0.0,86348.0,539.0,0.0,0.0,10.0,0.0,1.0,0,252230.0,40.0,52.3238,-1.8961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1A46,SMALLWOOD HOUSE,B97 4BD,R1A,1819.0,3898.0,0.0,108265.0,778.0,0.0,0.0,10.0,0.0,0.0,0,1020060.0,100.0,52.2921875,-1.9432875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1A49,HILL CREST MH UNIT,B98 7WG,R1A,2294.0,5380.0,0.0,474760.0,2100.0,0.0,0.0,50.0,0.0,0.0,0,129640.0,40.0,52.3238,-1.8961,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R1A59,KIDDERMINSTER HEALTH CENTRE,DY10 1PG,R1A,2829.0,5385.0,0.0,347613.0,1.0,0.0,0.0,20.0,0.0,0.0,0,703740.0,70.0,52.3848,-2.212788888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R1A97,PROPSPECT VIEW MEDICAL CENTRE,WR14 2QP,R1A,698.0,1623.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,,10.0,52.095075,-2.327225,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
